Governorate,Cases,Deaths,Recoveries,Active Cases,Date,Today's Cases,Vaccine Ratio,The Proportion Of Fully Vaccinated
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date,#affected+infected+today,,
Embryo ,18937,247,17882,808,2021-04-29,,,
Ramallah and Al-Bireh Governorate,31635,305,30532,798,2021-04-29,,,
Hebron Governorate,44643,552,43409,682,2021-04-29,,,
Qalqilya Governorate,8052,140,7555,357,2021-04-29,,,
Bethlehem Governorate,17571,223,17173,175,2021-04-29,,,
Tubas Governorate,4829,56,4607,166,2021-04-29,,,
Jericho Governorate,4350,45,4140,165,2021-04-29,,,
City of Jerusalem ,28841,268,28409,164,2021-04-29,,,
Salfit Governorate,7140,80,6916,144,2021-04-29,,,
Suburbs of Jerusalem ,10705,89,10578,38,2021-04-29,,,
Gaza strip,98887,869,83172,14846,2021-04-27,,,
Hebron Governorate,44566,548,43261,757,2021-04-27,,,
Nablus Governorate,32514,393,28888,3233,2021-04-27,,,
Ramallah and al-Bireh Governorate,31563,304,30389,870,2021-04-27,,,
East Jerusalem,28841,268,28409,164,2021-04-27,,,
Jenin Governorate,18830,247,17704,879,2021-04-27,,,
Bethlehem Governorate,17547,221,17144,182,2021-04-27,,,
Tulkarm Governorate,14568,211,13121,1236,2021-04-27,,,
Jerusalem Governorate,10700,89,10571,40,2021-04-27,,,
Qalqilya Governorate,8025,140,7514,371,2021-04-27,,,
Salfit Governorate,7124,80,6890,154,2021-04-27,,,
Tubas Governorate,4797,54,4560,183,2021-04-27,,,
Jericho Governorate,4345,45,4132,168,2021-04-27,,,
Gaza strip,97849,857,81449,15543,2021-04-26,,,
Hebron Governorate,44504,548,43216,740,2021-04-26,,,
Nablus Governorate,32408,390,28448,3570,2021-04-26,,,
Ramallah and al-Bireh Governorate,31515,304,30237,974,2021-04-26,,,
East Jerusalem,28841,268,28409,164,2021-04-26,,,
Jenin Governorate,18759,247,17640,872,2021-04-26,,,
Bethlehem Governorate,17537,220,17123,194,2021-04-26,,,
Tulkarm Governorate,14520,211,12967,1342,2021-04-26,,,
Jerusalem Governorate,10698,89,10571,38,2021-04-26,,,
Qalqilya Governorate,8017,139,7490,388,2021-04-26,,,
Salfit Governorate,7119,80,6868,171,2021-04-26,,,
Tubas Governorate,4785,54,4535,196,2021-04-26,,,
Jericho Governorate,4341,45,4116,180,2021-04-26,,,
Gaza strip,97258,848,80099,16311,2021-04-25,,,
Hebron Governorate,44419,542,43206,671,2021-04-25,,,
Nablus Governorate,32273,390,28161,3722,2021-04-25,,,
Ramallah and al-Bireh Governorate,31453,304,30159,990,2021-04-25,,,
East Jerusalem,28841,268,28409,164,2021-04-25,,,
Jenin Governorate,18670,247,17586,837,2021-04-25,,,
Bethlehem Governorate,17524,220,17095,209,2021-04-25,,,
Tulkarm Governorate,14465,209,12843,1413,2021-04-25,,,
Jerusalem Governorate,10691,89,10496,106,2021-04-25,,,
Qalqilya Governorate,7996,139,7471,386,2021-04-25,,,
Salfit Governorate,7116,80,6863,173,2021-04-25,,,
Tubas Governorate,4769,54,4511,204,2021-04-25,,,
Jericho Governorate,4338,45,4112,181,2021-04-25,,,
Gaza strip,96081,832,77749,17500,2021-04-23,,,
Hebron Governorate,44381,538,43060,783,2021-04-23,,,
Nablus Governorate,32023,386,27951,3686,2021-04-23,,,
Ramallah and al-Bireh Governorate,31325,304,30063,958,2021-04-23,,,
East Jerusalem,28841,268,28409,164,2021-04-23,,,
Jenin Governorate,18588,245,17412,931,2021-04-23,,,
Bethlehem Governorate,17490,220,17061,209,2021-04-23,,,
Tulkarm Governorate,14396,208,12711,1477,2021-04-23,,,
Jerusalem Governorate,10684,89,10336,259,2021-04-23,,,
Qalqilya Governorate,7975,138,7405,432,2021-04-23,,,
Salfit Governorate,7096,79,6837,180,2021-04-23,,,
Tubas Governorate,4747,54,4429,264,2021-04-23,,,
Jericho Governorate,4334,45,4091,198,2021-04-23,,,
Gaza strip,92642,798,72199,19645,2021-04-20,,,
Hebron Governorate,44204,529,42719,956,2021-04-20,,,
Nablus Governorate,31604,382,27463,3759,2021-04-20,,,
Ramallah and al-Bireh Governorate,31132,301,29820,1011,2021-04-20,,,
East Jerusalem,28841,268,28409,164,2021-04-20,,,
Jenin Governorate,18342,243,17095,1004,2021-04-20,,,
Bethlehem Governorate,17438,217,16859,362,2021-04-20,,,
Tulkarm Governorate,14264,205,12670,1389,2021-04-20,,,
Jerusalem Governorate,10679,89,10283,307,2021-04-20,,,
Qalqilya Governorate,7923,138,7350,435,2021-04-20,,,
Salfit Governorate,7062,78,6809,175,2021-04-20,,,
Tubas Governorate,4680,53,4322,305,2021-04-20,,,
Jericho Governorate,4310,45,4074,191,2021-04-20,,,
Gaza strip,88304,728,66648,20928,2021-04-16,,,
Hebron Governorate,43998,518,42335,1145,2021-04-16,,,
Nablus Governorate,31090,373,26888,3829,2021-04-16,,,
Ramallah and al-Bireh Governorate,30882,300,29448,1134,2021-04-16,,,
East Jerusalem,28826,268,28384,174,2021-04-16,,,
Jenin Governorate,18048,234,16457,1357,2021-04-16,,,
Bethlehem Governorate,17369,210,16735,424,2021-04-16,,,
Tulkarm Governorate,14079,200,12547,1332,2021-04-16,,,
Jerusalem Governorate,10664,88,10248,328,2021-04-16,,,
Qalqilya Governorate,7854,133,7172,549,2021-04-16,,,
Salfit Governorate,6988,76,6798,114,2021-04-16,,,
Tubas Governorate,4583,50,4204,329,2021-04-16,,,
Jericho Governorate,4276,45,4042,189,2021-04-16,,,
Gaza strip,86004,712,64393,20899,2021-04-14,,,
Hebron Governorate,43853,517,42050,1286,2021-04-14,,,
Ramallah and al-Bireh Governorate,30730,299,29168,1263,2021-04-14,,,
Nablus Governorate,30725,367,26262,4096,2021-04-14,,,
East Jerusalem,28780,267,28287,226,2021-04-14,,,
Jenin Governorate,17898,233,16093,1572,2021-04-14,,,
Bethlehem Governorate,17317,210,16647,460,2021-04-14,,,
Tulkarm Governorate,13959,197,12402,1360,2021-04-14,,,
Jerusalem Governorate,10655,87,10233,335,2021-04-14,,,
Qalqilya Governorate,7814,132,7114,568,2021-04-14,,,
Salfit Governorate,6954,76,6794,84,2021-04-14,,,
Tubas Governorate,4517,48,4114,355,2021-04-14,,,
Jericho Governorate,4264,45,4021,198,2021-04-14,,,
Gaza strip,83287,694,62536,20057,2021-04-12,,,
Hebron Governorate,43721,514,41572,1635,2021-04-12,,,
Ramallah and al-Bireh Governorate,30567,298,28945,1324,2021-04-12,,,
Nablus Governorate,30386,364,25582,4440,2021-04-12,,,
East Jerusalem,28780,267,28287,226,2021-04-12,,,
Jenin Governorate,17718,231,15554,1933,2021-04-12,,,
Bethlehem Governorate,17283,205,16571,507,2021-04-12,,,
Tulkarm Governorate,13854,194,11970,1690,2021-04-12,,,
Jerusalem Governorate,10649,87,10202,360,2021-04-12,,,
Qalqilya Governorate,7769,130,6993,646,2021-04-12,,,
Salfit Governorate,6934,75,6736,123,2021-04-12,,,
Tubas Governorate,4447,46,4037,364,2021-04-12,,,
Jericho Governorate,4241,45,4000,196,2021-04-12,,,
Gaza strip,75375,642,59258,15475,2021-04-07,,,
Hebron Governorate,43119,495,40534,2090,2021-04-07,,,
Ramallah and al-Bireh Governorate,30052,292,28335,1425,2021-04-07,,,
Nablus Governorate,29494,342,24387,4765,2021-04-07,,,
East Jerusalem,28702,262,28032,408,2021-04-07,,,
Bethlehem Governorate,17140,202,16311,627,2021-04-07,,,
Jenin Governorate,16945,220,14616,2109,2021-04-07,,,
Tulkarm Governorate,13477,190,11429,1858,2021-04-07,,,
Jerusalem Governorate,10601,87,10108,406,2021-04-07,,,
Qalqilya Governorate,7621,122,6722,777,2021-04-07,,,
Salfit Governorate,6847,73,6607,167,2021-04-07,,,
Jericho Governorate,4259,44,3844,371,2021-04-07,,,
Tubas Governorate,4203,44,3939,220,2021-04-07,,,
Gaza strip,73459,636,58743,13033,2021-04-06,,,
Hebron Governorate,43028,491,40421,2014,2021-04-06,,,
Ramallah and al-Bireh Governorate,29954,291,28245,1385,2021-04-06,,,
Nablus Governorate,29341,341,24079,4977,2021-04-06,,,
East Jerusalem,28702,262,28032,508,2021-04-06,,,
Bethlehem Governorate,17109,202,16196,796,2021-04-06,,,
Jenin Governorate,16745,218,14469,1987,2021-04-06,,,
Tulkarm Governorate,13390,187,11344,1791,2021-04-06,,,
Jerusalem Governorate,10592,87,10094,407,2021-04-06,,,
Qalqilya Governorate,7585,121,6669,772,2021-04-06,,,
Salfit Governorate,6841,73,6568,213,2021-04-06,,,
Jericho Governorate,4199,44,3916,242,2021-04-06,,,
Tubas Governorate,4218,44,3808,340,2021-04-06,,,
Gaza strip,71996,632,58331,13033,2021-04-05,,,
Hebron Governorate,42831,490,40327,2014,2021-04-05,,,
Ramallah and al-Bireh Governorate,29816,290,28141,1385,2021-04-05,,,
Nablus Governorate,29113,338,23798,4977,2021-04-05,,,
East Jerusalem,28648,260,27880,508,2021-04-05,,,
Bethlehem Governorate,17077,196,16085,796,2021-04-05,,,
Jenin Governorate,16523,218,14318,1987,2021-04-05,,,
Tulkarm Governorate,13287,184,11312,1791,2021-04-05,,,
Jerusalem Governorate,10569,87,10075,407,2021-04-05,,,
Qalqilya Governorate,7528,121,6635,772,2021-04-05,,,
Salfit Governorate,6821,72,6536,213,2021-04-05,,,
Jericho Governorate,4187,44,3901,242,2021-04-05,,,
Tubas Governorate,4174,44,3790,340,2021-04-05,,,
Gaza strip,66669,618,57325,8726,2021-04-01,,,
Hebron Governorate,41977,476,39264,2237,2021-04-01,,,
Ramallah and al-Bireh Governorate,29354,285,27593,1476,2021-04-01,,,
East Jerusalem,28586,256,27700,630,2021-04-01,,,
Nablus Governorate,28323,323,22659,5341,2021-04-01,,,
Bethlehem Governorate,16908,195,15660,1053,2021-04-01,,,
Jenin Governorate,15779,211,13624,1944,2021-04-01,,,
Tulkarm Governorate,12898,178,10901,1819,2021-04-01,,,
Jerusalem Governorate,10490,87,9959,444,2021-04-01,,,
Qalqilya Governorate,7352,116,6379,857,2021-04-01,,,
Salfit Governorate,6711,69,6359,283,2021-04-01,,,
Jericho Governorate,4148,44,3841,263,2021-04-01,,,
Tubas Governorate,4036,43,3660,333,2021-04-01,,,
Gaza strip,66669,618,57325,8726,2021-03-31,,,
Nablus Governorate,28323,323,22659,5341,2021-03-31,,,
Hebron Governorate,41977,476,39264,2237,2021-03-31,,,
Jenin Governorate,15779,211,13624,1944,2021-03-31,,,
Tulkarm Governorate,12898,178,10901,1819,2021-03-31,,,
Ramallah and Al-Bireh Governorate,29354,285,27593,1476,2021-03-31,,,
Bethlehem Governorate,16908,195,15660,1053,2021-03-31,,,
Qalqilya Governorate,7352,116,6379,857,2021-03-31,,,
City of Jerusalem ,28586,256,27700,630,2021-03-31,,,
Suburbs of Jerusalem ,10490,87,9959,444,2021-03-31,,,
Tubas Governorate,4036,43,3660,333,2021-03-31,,,
Salfit Governorate,6711,69,6359,283,2021-03-31,,,
Jericho Governorate,4148,44,3841,263,2021-03-31,,,
Gaza strip,64527,610,56819,7098,2021-03-30,,,
Hebron Governorate,41453,470,38431,2552,2021-03-30,,,
Ramallah and al-Bireh Governorate,29039,283,27309,1447,2021-03-30,,,
East Jerusalem,28525,254,27539,732,2021-03-30,,,
Nablus Governorate,27757,318,22215,5224,2021-03-30,,,
Bethlehem Governorate,16801,195,15396,1210,2021-03-30,,,
Jenin Governorate,15406,208,13135,2063,2021-03-30,,,
Tulkarm Governorate,12676,173,10592,1911,2021-03-30,,,
Jerusalem Governorate,10431,87,9834,510,2021-03-30,,,
Qalqilya Governorate,7255,114,6174,967,2021-03-30,,,
Salfit Governorate,6659,69,6290,300,2021-03-30,,,
Jericho Governorate,4125,44,3796,285,2021-03-30,,,
Tubas Governorate,3936,43,3599,294,2021-03-30,,,
Gaza strip,62927,599,56363,5965,2021-03-28,,,
Hebron Governorate,41140,467,37723,2950,2021-03-28,,,
Ramallah and al-Bireh Governorate,28811,282,27008,1521,2021-03-28,,,
East Jerusalem,28472,253,27213,1006,2021-03-28,,,
Nablus Governorate,27294,313,21906,5075,2021-03-28,,,
Bethlehem Governorate,16705,194,15076,1435,2021-03-28,,,
Jenin Governorate,15050,207,12807,2036,2021-03-28,,,
Tulkarm Governorate,12425,169,10246,2010,2021-03-28,,,
Jerusalem Governorate,10393,86,9761,546,2021-03-28,,,
Qalqilya Governorate,7161,108,5999,1054,2021-03-28,,,
Salfit Governorate,6612,69,6158,385,2021-03-28,,,
Jericho Governorate,4090,44,3762,284,2021-03-28,,,
Tubas Governorate,3854,43,3531,280,2021-03-28,,,
Gaza strip,60848,593,55960,4295,2021-03-25,,,
Hebron Governorate,40711,452,36624,3635,2021-03-25,,,
Ramallah and al-Bireh Governorate,28456,278,26277,1901,2021-03-25,,,
East Jerusalem,28352,250,26938,1164,2021-03-25,,,
Nablus Governorate,26907,306,21223,5378,2021-03-25,,,
Bethlehem Governorate,16543,189,14649,1705,2021-03-25,,,
Jenin Governorate,14581,201,12249,2131,2021-03-25,,,
Tulkarm Governorate,12259,162,9901,2196,2021-03-25,,,
Jerusalem Governorate,10334,83,9519,732,2021-03-25,,,
Qalqilya Governorate,7010,104,5781,1125,2021-03-25,,,
Salfit Governorate,6518,69,5971,478,2021-03-25,,,
Jericho Governorate,4065,41,3717,307,2021-03-25,,,
Tubas Governorate,3806,43,3418,345,2021-03-25,,,
Gaza strip,60294,591,55897,3806,2021-03-24,,,
Hebron Governorate,40341,449,36273,3619,2021-03-24,,,
East Jerusalem,28343,277,25934,2132,2021-03-24,,,
Ramallah and al-Bireh Governorate,28221,250,26724,1247,2021-03-24,,,
Nablus Governorate,26638,305,20752,5581,2021-03-24,,,
Bethlehem Governorate,16460,189,14515,1756,2021-03-24,,,
Jenin Governorate,14364,200,12080,2084,2021-03-24,,,
Tulkarm Governorate,12128,158,9741,2229,2021-03-24,,,
Jerusalem Governorate,10293,83,9456,754,2021-03-24,,,
Qalqilya Governorate,6946,101,5700,1145,2021-03-24,,,
Salfit Governorate,6489,66,5928,495,2021-03-24,,,
Jericho Governorate,4038,39,3694,305,2021-03-24,,,
Tubas Governorate,3742,43,3370,329,2021-03-24,,,
Gaza strip,59330,588,55642,3100,2021-03-22,,,
Hebron Governorate,39560,441,35332,3787,2021-03-22,,,
East Jerusalem,28030,250,26238,1542,2021-03-22,,,
Ramallah and al-Bireh Governorate,27991,270,25480,2241,2021-03-22,,,
Nablus Governorate,26120,300,20354,5466,2021-03-22,,,
Bethlehem Governorate,16250,183,14233,1834,2021-03-22,,,
Jenin Governorate,13825,195,11788,1842,2021-03-22,,,
Tulkarm Governorate,11797,156,9524,2117,2021-03-22,,,
Jerusalem Governorate,10204,82,9321,801,2021-03-22,,,
Qalqilya Governorate,6805,96,5564,1145,2021-03-22,,,
Salfit Governorate,6403,66,5813,524,2021-03-22,,,
Jericho Governorate,4008,39,3642,327,2021-03-22,,,
Tubas Governorate,3683,42,3272,369,2021-03-22,,,
Gaza strip,58972,582,55486,2904,2021-03-21,,,
Hebron Governorate,39069,439,35125,3505,2021-03-21,,,
East Jerusalem,28030,250,26238,1542,2021-03-21,,,
Ramallah and al-Bireh Governorate,27714,269,25178,2267,2021-03-21,,,
Nablus Governorate,25789,291,20177,5321,2021-03-21,,,
Bethlehem Governorate,16120,179,14094,1847,2021-03-21,,,
Jenin Governorate,13537,195,11688,1654,2021-03-21,,,
Tulkarm Governorate,11622,150,9338,2134,2021-03-21,,,
Jerusalem Governorate,10111,82,9289,740,2021-03-21,,,
Qalqilya Governorate,6708,94,5465,1149,2021-03-21,,,
Salfit Governorate,6354,66,5729,559,2021-03-21,,,
Jericho Governorate,3991,39,3615,337,2021-03-21,,,
Tubas Governorate,3651,41,3247,363,2021-03-21,,,
Nablus governorate,25118,283,19883,4952,2021-03-19,,,
Hebron Governorate,38382,431,34420,3531,2021-03-19,,,
Gaza strip,58417,574,55236,2607,2021-03-19,,,
Ramallah and al-Bireh Governorate,27297,264,24645,2388,2021-03-19,,,
Bethlehem Governorate,15921,172,13824,1925,2021-03-19,,,
Tulkarm Governorate,11294,149,9221,1924,2021-03-19,,,
City of Jerusalem ,27729,250,25849,1630,2021-03-19,,,
Jenin Governorate,13160,194,11425,1541,2021-03-19,,,
Qalqilya Governorate,6524,90,5302,1132,2021-03-19,,,
Suburbs of Jerusalem,10003,79,9105,819,2021-03-19,,,
Salfit Governorate,6284,64,5570,650,2021-03-19,,,
Jericho Governorate,3959,38,3536,385,2021-03-19,,,
Tubas Governorate,3553,41,3205,307,2021-03-19,,,
Nablus Governorate,24495,276,19272,4947,2021-03-17,,,
Hebron Governorate,37667,422,33580,3665,2021-03-17,,,
Gaza strip,57891,572,54960,2359,2021-03-17,,,
Ramallah and al-Bireh Governorate,26725,257,24159,2309,2021-03-17,,,
Bethlehem Governorate,15694,169,13545,1980,2021-03-17,,,
Tulkarm Governorate,10960,146,8948,1866,2021-03-17,,,
City of Jerusalem,27495,247,25476,1772,2021-03-17,,,
Jenin Governorate,12732,193,11206,1333,2021-03-17,,,
Qalqilya Governorate,6367,89,5134,1144,2021-03-17,,,
Suburbs of Jerusalem,9867,78,9008,781,2021-03-17,,,
Salfit Governorate,6181,62,5430,689,2021-03-17,,,
Jericho Governorate,3910,38,3476,396,2021-03-17,,,
Tubas Governorate,3495,41,3121,333,2021-03-17,,,
Gaza strip,57316,567,54621,2128,2021-03-15,,,
Hebron Governorate,36926,410,32588,3928,2021-03-15,,,
East Jerusalem,27287,241,25054,1992,2021-03-15,,,
Ramallah and al-Bireh Governorate,26109,249,23319,2541,2021-03-15,,,
Nablus Governorate,23712,268,18580,4864,2021-03-15,,,
Bethlehem Governorate,15383,165,13171,2047,2021-03-15,,,
Jenin Governorate,12358,193,11028,1137,2021-03-15,,,
Tulkarm Governorate,10583,141,8781,1661,2021-03-15,,,
Jerusalem Governorate,9721,78,8829,814,2021-03-15,,,
Qalqilya Governorate,6194,87,4978,1129,2021-03-15,,,
Salfit Governorate,6025,58,5291,676,2021-03-15,,,
Jericho Governorate,3872,37,3397,438,2021-03-15,,,
Tubas Governorate,3403,40,3051,312,2021-03-15,,,
Nablus Governorate,22565,252,18095,4218,2021-03-12,,,
Hebron Governorate,35705,403,31682,3620,2021-03-12,,,
Ramallah and Al-Bireh Governorate,25157,239,22381,2537,2021-03-12,,,
Bethlehem Governorate,14942,155,12667,2120,2021-03-12,,,
City of Jerusalem ,27013,239,24676,2098,2021-03-12,,,
Gaza strip,56883,565,54283,2035,2021-03-12,,,
Tulkarm Governorate,10011,134,8505,1372,2021-03-12,,,
Qalqilya Governorate,5959,84,4810,1065,2021-03-12,,,
Jenin Governorate,11992,189,10854,949,2021-03-12,,,
Suburbs of Jerusalem ,9466,76,8501,889,2021-03-12,,,
Salfit Governorate,5869,56,5014,799,2021-03-12,,,
Jericho Governorate,3819,36,3279,504,2021-03-12,,,
Tubas Governorate,3284,39,2932,313,2021-03-12,,,
Nablus governorate,22214,248,18042,3924,2021-03-11,,,
Hebron Governorate,35173,399,31352,3422,2021-03-11,,,
Ramallah and Al-Bireh ,24932,237,21968,2727,2021-03-11,,,
City of Jerusalem,26687,234,24256,2197,2021-03-11,,,
Bethlehem Governorate,14798,155,12532,2111,2021-03-11,,,
Gaza strip,56727,564,54163,2000,2021-03-11,,,
Tulkarm ,9847,133,8405,1309,2021-03-11,,,
Qalqilya ,5863,83,4744,1036,2021-03-11,,,
Suburbs of Jerusalem ,9445,76,8394,975,2021-03-11,,,
Jenin ,11828,188,10761,879,2021-03-11,,,
Salfit ,5808,56,4937,815,2021-03-11,,,
Jericho ,3791,35,3261,495,2021-03-11,,,
Tubas ,3243,37,2893,313,2021-03-11,,,
Nablus governorate,21966,241,17876,3849,2021-03-10,,,
Hebron Governorate,35037,397,30967,3673,2021-03-10,,,
Ramallah and Al-Bireh Governorate,24712,235,21572,2905,2021-03-10,,,
City of Jerusalem,26687,234,24256,2197,2021-03-10,,,
Bethlehem Governorate,14671,153,12341,2177,2021-03-10,,,
Gaza strip,56658,562,54086,2010,2021-03-10,,,
Tulkarm Governorate,9764,131,8337,1296,2021-03-10,,,
Qalqilya Governorate,5776,83,4689,1004,2021-03-10,,,
Suburbs of Jerusalem ,9349,76,8281,992,2021-03-10,,,
Salfit Governorate,5754,56,4874,824,2021-03-10,,,
Jenin Governorate,11698,188,10705,805,2021-03-10,,,
Jericho Governorate,3782,35,3211,536,2021-03-10,,,
Tubas Governorate,3211,36,2871,304,2021-03-10,,,
Gaza strip,56355,560,53894,1901,2021-03-09,,,
Hebron Governorate,34165,387,30353,3425,2021-03-09,,,
East Jerusalem,26352,230,23672,2450,2021-03-09,,,
Ramallah and al-Bireh Governorate,24149,230,20706,3213,2021-03-09,,,
Nablus Governorate,21211,236,17567,3408,2021-03-09,,,
Bethlehem Governorate,14365,149,11982,2234,2021-03-09,,,
Jenin Governorate,11452,186,10586,680,2021-03-09,,,
Tulkarm Governorate,9546,127,8167,1252,2021-03-09,,,
Jerusalem Governorate,9253,74,7949,1230,2021-03-09,,,
Qalqilya Governorate,5617,82,4620,915,2021-03-09,,,
Salfit Governorate,5588,56,4711,821,2021-03-09,,,
Jericho Governorate,3705,34,3166,505,2021-03-09,,,
Tubas Governorate,3148,36,2806,306,2021-03-09,,,
Gaza strip,56232,560,53761,1911,2021-03-08,,,
Hebron Governorate,33734,384,30212,3138,2021-03-08,,,
East Jerusalem,26091,225,23092,2774,2021-03-08,,,
Ramallah and al-Bireh Governorate,23907,230,20279,3398,2021-03-08,,,
Nablus Governorate,20920,236,17463,3221,2021-03-08,,,
Bethlehem Governorate,14222,147,11805,2270,2021-03-08,,,
Jenin Governorate,11376,184,10537,655,2021-03-08,,,
Tulkarm Governorate,9457,123,8107,1227,2021-03-08,,,
Jerusalem Governorate,9132,73,7881,1178,2021-03-08,,,
Qalqilya Governorate,5537,81,4575,881,2021-03-08,,,
Salfit Governorate,5517,55,4652,810,2021-03-08,,,
Jericho Governorate,3662,32,3117,513,2021-03-08,,,
Tubas Governorate,3116,35,2789,292,2021-03-08,,,
Jericho Governorate,3599,32,3056,511,2021-03-04,,,
Hebron Governorate,32977,379,29567,3031,2021-03-04,,,
Bethlehem Governorate,13941,144,11675,2122,2021-03-04,,,
Jenin Governorate,11236,184,10392,660,2021-03-04,,,
Ramallah and Al-Bireh Governorate,23138,224,19676,3238,2021-03-04,,,
Salfit Governorate,5377,53,4479,845,2021-03-04,,,
Suburbs of Jerusalem ,8908,70,7686,1152,2021-03-04,,,
Tubas Governorate,3032,34,2726,272,2021-03-04,,,
Tulkarm Governorate,9225,122,8005,1098,2021-03-04,,,
Gaza strip,55928,558,53536,1834,2021-03-04,,,
Qalqilya Governorate,5363,78,4462,823,2021-03-04,,,
City of Jerusalem ,25599,223,22806,2570,2021-03-04,,,
Nablus Governorate,20305,232,17328,2745,2021-03-04,,,
Gaza strip,55430,553,53097,1780,2021-03-02,,,
Hebron Governorate,31888,373,28789,2726,2021-03-02,,,
East Jerusalem,25176,218,22515,2443,2021-03-02,,,
Ramallah and al-Bireh Governorate,21940,217,18498,3225,2021-03-02,,,
Nablus Governorate,19436,225,17039,2172,2021-03-02,,,
Bethlehem Governorate,13396,139,11438,1819,2021-03-02,,,
Jenin Governorate,11021,181,10267,573,2021-03-02,,,
Tulkarm Governorate,8908,119,7777,1012,2021-03-02,,,
Jerusalem Governorate,8605,70,7517,1018,2021-03-02,,,
Salfit Governorate,5159,48,4297,814,2021-03-02,,,
Qalqilya Governorate,5126,77,4364,685,2021-03-02,,,
Jericho Governorate,3478,28,3011,439,2021-03-02,,,
Tubas Governorate,2922,33,2669,220,2021-03-02,,,
Gaza strip,55276,552,52974,1750,2021-02-28,,,
Hebron Governorate,31531,371,28561,2599,2021-02-28,,,
East Jerusalem,24737,217,22218,2302,2021-02-28,,,
Ramallah and al-Bireh Governorate,21489,216,18234,3039,2021-02-28,,,
Nablus Governorate,19155,224,16922,2009,2021-02-28,,,
Bethlehem Governorate,13193,139,11379,1675,2021-02-28,,,
Jenin Governorate,10952,181,10221,550,2021-02-28,,,
Tulkarm Governorate,8788,119,7739,930,2021-02-28,,,
Jerusalem Governorate,8480,70,7437,973,2021-02-28,,,
Qalqilya Governorate,5079,77,4347,655,2021-02-28,,,
Salfit Governorate,5061,48,4262,751,2021-02-28,,,
Jericho Governorate,3446,28,3011,407,2021-02-28,,,
Tubas Governorate,2886,33,2657,196,2021-02-28,,,
Gaza strip,54811,547,52525,1739,2021-02-25,,,
Hebron Governorate,30378,362,28210,1806,2021-02-25,,,
East Jerusalem,23967,208,21787,1972,2021-02-25,,,
Ramallah and al-Bireh Governorate,20148,208,17394,2546,2021-02-25,,,
Nablus Governorate,18453,217,16739,1497,2021-02-25,,,
Bethlehem Governorate,12543,135,10975,1433,2021-02-25,,,
Jenin Governorate,10698,180,10096,422,2021-02-25,,,
Tulkarm Governorate,8444,117,7561,766,2021-02-25,,,
Jerusalem Governorate,8120,67,7303,750,2021-02-25,,,
Qalqilya Governorate,4878,75,4223,580,2021-02-25,,,
Salfit Governorate,4745,41,3948,756,2021-02-25,,,
Jericho Governorate,3288,27,2959,302,2021-02-25,,,
Tubas Governorate,2787,32,2624,131,2021-02-25,,,
Gaza strip,54719,546,52348,1825,2021-02-24,,,
Hebron Governorate,30071,358,28107,1606,2021-02-24,,,
East Jerusalem,23392,206,21453,1733,2021-02-24,,,
Ramallah and al-Bireh Governorate,19816,208,17260,2348,2021-02-24,,,
Nablus Governorate,18253,216,16651,1386,2021-02-24,,,
Bethlehem Governorate,12370,133,10906,1331,2021-02-24,,,
Jenin Governorate,10636,180,10046,410,2021-02-24,,,
Tulkarm Governorate,8364,116,7526,722,2021-02-24,,,
Jerusalem Governorate,8049,67,7303,679,2021-02-24,,,
Qalqilya Governorate,4811,75,4194,542,2021-02-24,,,
Salfit Governorate,4676,41,3892,743,2021-02-24,,,
Jericho Governorate,3255,27,2951,277,2021-02-24,,,
Tubas Governorate,2748,32,2611,105,2021-02-24,,,
Gaza strip,54635,545,52146,1944,2021-02-23,,,
Hebron Governorate,29809,357,27967,1485,2021-02-23,,,
East Jerusalem,23392,206,21453,1733,2021-02-23,,,
Ramallah and al-Bireh Governorate,19502,208,17024,2270,2021-02-23,,,
Nablus Governorate,18106,215,16589,1302,2021-02-23,,,
Bethlehem Governorate,12181,133,10823,1225,2021-02-23,,,
Jenin Governorate,10586,180,9991,415,2021-02-23,,,
Tulkarm Governorate,8278,115,7500,663,2021-02-23,,,
Jerusalem Governorate,7957,67,7179,711,2021-02-23,,,
Qalqilya Governorate,4743,75,4182,486,2021-02-23,,,
Salfit Governorate,4614,40,3816,758,2021-02-23,,,
Jericho Governorate,3239,27,2934,278,2021-02-23,,,
Tubas Governorate,2727,32,2606,89,2021-02-23,,,
Gaza strip,54460,545,52011,1904,2021-02-22,,,
Hebron Governorate,29580,353,27853,1374,2021-02-22,,,
East Jerusalem,22804,204,21065,1535,2021-02-22,,,
Ramallah and al-Bireh Governorate,19189,207,16846,2136,2021-02-22,,,
Nablus Governorate,17997,214,16499,1284,2021-02-22,,,
Bethlehem Governorate,11997,133,10771,1093,2021-02-22,,,
Jenin Governorate,10529,180,9932,417,2021-02-22,,,
Tulkarm Governorate,8217,114,7476,627,2021-02-22,,,
Jerusalem Governorate,7863,67,7181,615,2021-02-22,,,
Qalqilya Governorate,4705,74,4170,461,2021-02-22,,,
Salfit Governorate,4537,40,3759,738,2021-02-22,,,
Jericho Governorate,3188,27,2929,232,2021-02-22,,,
Tubas Governorate,2707,32,2598,77,2021-02-22,,,
Gaza strip,54398,543,51926,1929,2021-02-21,,,
Hebron Governorate,29275,352,27817,1106,2021-02-21,,,
